Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-06-09 16:00:00-04:00,0.2,,
2026-03-03 16:00:00-05:00,0.23,0.3,29.98
2025-12-02 16:00:00-05:00,0.2,0.25,24.02
2025-09-03 16:00:00-04:00,0.16,0.24,46.48
2025-06-10 16:00:00-04:00,-0.12,-0.22,-88.49
2025-03-03 16:00:00-05:00,0.23,0.33,44.65
2024-12-05 16:00:00-05:00,0.16,0.23,44.4
2024-09-03 16:00:00-04:00,0.1,0.15,45.79
2024-06-03 16:00:00-04:00,-0.04,0.03,179.22
2024-03-04 16:00:00-05:00,0.08,0.15,77.83
2023-12-04 16:00:00-05:00,-0.01,0.09,1710.02
2023-09-05 16:00:00-04:00,-0.03,0.01,139.56
2023-06-05 16:00:00-04:00,-0.14,-0.06,57.89
2023-03-13 16:00:00-04:00,-0.14,-0.03,78.73
2022-12-05 16:00:00-05:00,-0.15,-0.1,34.62
2022-09-06 16:00:00-04:00,-0.23,-0.15,34.83
2022-06-06 16:00:00-04:00,-0.26,-0.18,31.93
2022-03-14 16:00:00-04:00,-0.25,-0.16,36.48
2021-12-06 16:00:00-05:00,-0.48,-0.34,29.21
